OBJECTID,FREQUENCY,NEIGHNAME,BASE_ZONE,GENERAL_ZONING,ACRES,geom
1933,77,WEST OAK HILL,SF-4A,Single Family,281.5263965,
997,12,LBJ,SF-4A,Single Family,26.39815471,
1125,64,MONTOPOLIS,P,Public,36.76180242,
677,3,GARRISON PARK,GR,Vertical Mixed Use,2.52158571,
1175,6,NORTH LAMAR,LO,Vertical Mixed Use,4.982651312,
1826,1,VILLAGE AT WESTERN OAKS,CS-1,Commercial,0.070855075,
984,4,LBJ,CS,Commercial,3.378895055,
1273,4,OLD ENFIELD,P,Public,42.62470366,
1180,4,NORTH LAMAR,NO,Office,0.572829568,
1673,1,SPICEWOOD,LR,Commercial,18.69552368,
1025,5,MCKINNEY,CS-1,Commercial,4.067211542,
2035,7,WINDSOR PARK,LR,Mixed Use,1.674384102,
975,16,JOLLYVILLE,PUD,Planned Unit Development,146.568907,
771,18,GRACY WOODS,PUD,Planned Unit Development,135.5081966,
826,3,HERITAGE HILLS,CS-1,Commercial,4.136994453,
1952,69,WEST UNIVERSITY,MF-2,Multi-Family,6.531265635,
634,28,FRANKLIN PARK,LO,Office,8.229400036,
1757,3,TECH RIDGE,NO,Office,6.632926798,
885,6,HOLLY,GO,Office,0.749548084,
1510,5,ROSEWOOD,MF-4,Multi-Family,21.34762443,
701,5,GEORGIAN ACRES,CS-1,Commercial,0.698381082,
2062,1,WINDSOR ROAD,MF-2,Multi-Family,0.173767309,
1104,20,MLK-183,SF-6,Single Family,2.645834107,
744,2,GOVALLE,SF-4A,Single Family,1.406090788,
1192,3,NORTH LOOP,GO,Vertical Mixed Use,0.218510344,
1464,4,ROGERS HILL,RR,"Rural, Lake Austin Residence",332.4395058,
1021,5,MANSFIELD--RIVER PLACE,SF-6,Single Family,66.26931887,
2108,105,ZILKER,SF-3,Single Family,331.5609802,
1390,4,POND SPRINGS,LO,Office,8.174594927,
1884,11,WEST AUSTIN NEIGHBORHOOD GROUP,UNZ,Unzoned,88.92619886,
1407,3,RIVERSIDE,CS-1,Commercial,0.472534012,
1680,33,SPICEWOOD,SF-2,Single Family,184.6607948,
1547,6,SLAUGHTER CREEK,MF-3,Multi-Family,67.42904796,
1771,8,TRIANGLE STATE,SF-3,Single Family,0.042851341,
795,21,HANCOCK,LR,Mixed Use,3.129840364,
1217,5,NORTH SHOAL CREEK,CS-1,Vertical Mixed Use,0.91989812,
976,6,JOLLYVILLE,RR,"Rural, Lake Austin Residence",73.86940889,
663,1,GALINDO,MF-4,Multi-Family,0.683009505,
1354,4,PECAN SPRINGS-SPRINGDALE,LR,Commercial,0.291952852,
1610,43,SOUTH MANCHACA,GR,Commercial,20.80643919,
1548,1,SLAUGHTER CREEK,MF-4,Multi-Family,3.410614839,
947,4,JOHNSTON TERRACE,IP,Industrial,6.123677604,
1400,147,POND SPRINGS,SF-2,Single Family,500.3293707,
1868,4,WEST AUSTIN NEIGHBORHOOD GROUP,GO,Office,0.27066323,
1600,1,SOUTH LAMAR,SF-4A,Single Family,1.95220216,
1619,2,SOUTH MANCHACA,NO,Office,0.52761156,
1507,16,ROSEWOOD,LR,Vertical Mixed Use,1.455044532,
931,3,JESTER,MF-1,Multi-Family,115.6158309,
1553,34,SLAUGHTER CREEK,SF-1,Single Family,58.64989399,
1694,55,ST. EDWARDS,LI,Industrial,50.98500959,
1520,2,SAMSUNG--PIONEER CROSSING,LI,Industrial,300.1898133,
1687,6,ST. EDWARDS,CS-1,Commercial,3.282216664,
1244,2,NORTH UNIVERSITY,MF-6,Multi-Family,1.066473008,
1581,6,SOUTH LAMAR,CS-1,Vertical Mixed Use,1.937887816,
1831,1,VILLAGE AT WESTERN OAKS,LR,Mixed Use,0.548068467,
1886,7,WEST CONGRESS,CS,Commercial,2.267619986,
650,4,GALINDO,CS,Vertical Mixed Use,6.395603562,
1413,32,RIVERSIDE,LR,Commercial,11.21678084,
897,4,HOLLY,SF-2,Single Family,0.104126834,
1796,6,UPPER BOGGY CREEK,GO,Vertical Mixed Use,0.338265699,
832,58,HERITAGE HILLS,LI,Industrial,178.3881502,
2099,5,ZILKER,MF-2,Multi-Family,4.415874578,
1859,16,WALNUT CREEK--PIONEER HILL,SF-1,Single Family,41.61997031,
703,3,GEORGIAN ACRES,GO,Vertical Mixed Use,0.196890365,
1671,1,SPICEWOOD,LO,Mixed Use,0.401890642,
1906,2,WEST OAK HILL,CR,Commercial,163.4867082,
1486,5,ROSEDALE,MF-4,Multi-Family,8.064393684,
848,1,HIGHLAND,LI,Industrial,0.827133901,
868,9,HIGHLAND PARK,LA,"Rural, Lake Austin Residence",252.2167512,
711,15,GEORGIAN ACRES,LR,Mixed Use,6.790497281,
813,1,HARRIS BRANCH,LO,Office,5.178585695,
2098,1,ZILKER,LR,Mixed Use,0.188916947,
1833,1,VILLAGE AT WESTERN OAKS,MF-3,Multi-Family,25.84145362,
1119,3,MONTOPOLIS,LR,Commercial,1.038585192,
1198,13,NORTH LOOP,LO,Vertical Mixed Use,1.19255207,
1860,9,WALNUT CREEK--PIONEER HILL,SF-2,Single Family,51.04597238,
1598,4,SOUTH LAMAR,PUD,Planned Unit Development,24.93174917,
1480,23,ROSEDALE,LO,Office,12.34147094,
1689,11,ST. EDWARDS,GO,Mixed Use,54.74652072,
1083,25,MLK,TOD,TOD/Corridor/Specific Regulating District,7.455192363,
1197,26,NORTH LOOP,LO,Office,4.113467485,
1762,5,TECH RIDGE,SF-3,Single Family,16.17067994,
1421,5,RIVERSIDE,SF-6,Single Family,3.019349361,
1243,7,NORTH UNIVERSITY,MF-5,Multi-Family,17.445105,
1672,1,SPICEWOOD,LO,Office,6.525910281,
1204,17,NORTH LOOP,MF-4,Multi-Family,5.675678538,
1100,13,MLK-183,RR,"Rural, Lake Austin Residence",11.14924225,
846,3,HIGHLAND,GR,Commercial,0.494028055,
884,9,HOLLY,GO,Mixed Use,0.401491841,
2025,14,WINDSOR PARK,GO,Mixed Use,8.088882102,
675,137,GARRISON PARK,GR,Commercial,75.89946578,
1603,11,SOUTH LAMAR,SF-6,Single Family,22.46656581,
1709,1,ST. JOHN,CS,Vertical Mixed Use,0.53119994,
1258,17,NORTHWEST HILLS,LR,Commercial,23.12346522,
1409,11,RIVERSIDE,GO,Office,5.144249467,
825,13,HERITAGE HILLS,CS,Commercial,20.81567239,
1729,33,SWEETBRIAR,GR,Commercial,34.32656128,
1388,10,POND SPRINGS,GR,Mixed Use,28.61148498,
869,1,HIGHLAND PARK,LI,Industrial,0.104271255,
1596,3,SOUTH LAMAR,NO,Office,1.057493214,
1266,12,NORTHWEST HILLS,SF-2,Single Family,112.6978623,
2055,16,WINDSOR ROAD,GO,Vertical Mixed Use,13.19781565,
1157,29,NORTH BURNET,MI,Industrial,280.1925231,
1008,6,MANSFIELD--RIVER PLACE,LR,Commercial,24.05566885,
1970,19,WESTGATE,LR,Commercial,4.487708411,
1534,6,SLAUGHTER CREEK,CS-1,Commercial,1.262054488,
1566,5,SOUTH BRODIE,LR,Commercial,5.507738715,
1473,2,ROSEDALE,CS-1,Commercial,0.319320539,
1718,9,ST. JOHN,MF-2,Multi-Family,4.686443615,
1322,65,ONION CREEK,SF-2,Single Family,402.344506,
741,7,GOVALLE,PUD,Planned Unit Development,12.74248277,
651,1,GALINDO,CS-1,Vertical Mixed Use,0.355311223,
1570,46,SOUTH BRODIE,RR,"Rural, Lake Austin Residence",1897.580138,
878,1,HIGHLAND PARK,SF-6,Single Family,4.246133328,
1791,29,UPPER BOGGY CREEK,CS,Commercial,2.172610451,
834,4,HERITAGE HILLS,MF-1,Multi-Family,0.429665,
714,71,GEORGIAN ACRES,MF-3,Multi-Family,54.5365118,
991,2,LBJ,MF-2,Multi-Family,15.36112754,
924,1,JESTER,AG,"Agriculture, Development Reserve",312.0373192,
1452,4,ROGERS HILL,GO,Office,18.35663891,
1994,65,WESTOVER HILLS,SF-3,Single Family,495.6133105,
1254,17,NORTHWEST HILLS,GR,Commercial,37.95188675,
2080,12,WOOTEN,LO,Mixed Use,2.572627366,
2033,48,WINDSOR PARK,LO,Office,10.74819992,
2001,37,WINDSOR HILLS,CS,Vertical Mixed Use,50.36374437,
959,1,JOLLYVILLE,CH,Commercial,0.648168652,
1004,2,MANSFIELD--RIVER PLACE,GR,Mixed Use,32.75169967,
977,8,JOLLYVILLE,SF-1,Single Family,35.36138209,
1220,9,NORTH SHOAL CREEK,LI,Industrial,84.86691304,
754,21,GRACY WOODS,GO,Office,108.6912479,
1495,24,ROSEWOOD,CS,Commercial,7.151548095,
1205,11,NORTH LOOP,NO,Office,0.521259615,
1618,27,SOUTH MANCHACA,MF-3,Multi-Family,8.140590095,
799,26,HANCOCK,P,Public,64.33574385,
653,5,GALINDO,GR,Commercial,6.226613258,
1665,2,SOUTHEAST,SF-3,Single Family,0.24130653,
2004,25,WINDSOR HILLS,GR,Commercial,8.554504244,
1756,4,TECH RIDGE,MF-4,Multi-Family,53.61120999,
672,1,GARRISON PARK,CS,Commercial,0.096161498,
1629,25,SOUTH RIVER CITY,CS-1,Vertical Mixed Use,6.972104854,
1702,95,ST. EDWARDS,P,Public,128.9952249,
706,10,GEORGIAN ACRES,GR,Vertical Mixed Use,1.677678416,
966,2,JOLLYVILLE,GR,Mixed Use,4.186953229,
736,30,GOVALLE,LR,Mixed Use,4.166571311,
1974,2,WESTGATE,NO,Office,0.231994306,
1691,16,ST. EDWARDS,GO,Vertical Mixed Use,45.16758097,
1311,2,ONION CREEK,CS-1,Commercial,0.07174424,
742,7,GOVALLE,RR,"Rural, Lake Austin Residence",7.039521696,
1656,2,SOUTHEAST,CS-1,Commercial,0.822564589,
1443,1,ROBINSON RANCH,MF-3,Multi-Family,14.02320098,
793,4,HANCOCK,LO,Vertical Mixed Use,0.295793477,
1775,1,UNIVERSITY HILLS,CS-1,Commercial,0.036121887,
1328,4,PARKER LANE,CS-1,Commercial,0.207292959,
2105,6,ZILKER,P,Public,36.60268138,
1139,182,NORTH AUSTIN CIVIC ASSOCIATION,GR,Commercial,201.3736105,
1348,4,PECAN SPRINGS-SPRINGDALE,CS,Vertical Mixed Use,0.837128938,
1376,21,PLEASANT VALLEY,RR,"Rural, Lake Austin Residence",43.86944399,
1397,1,POND SPRINGS,P,Public,0.117651464,
849,26,HIGHLAND,LO,Office,3.903134843,
694,1,GATEWAY,GR,Commercial,0.071803886,
1393,4,POND SPRINGS,MF-2,Multi-Family,38.16851877,
1423,1,RMMA,AV,Public,0.312100365,
1616,42,SOUTH MANCHACA,LR,Vertical Mixed Use,3.860238285,
1946,12,WEST UNIVERSITY,GR,Vertical Mixed Use,5.83485848,
1326,39,PARKER LANE,CS,Commercial,41.25406398,
1746,17,TECH RIDGE,DR,"Agriculture, Development Reserve",182.7397919,
1297,3,OLD WEST AUSTIN,NO,Mixed Use,1.648605635,
1349,12,PECAN SPRINGS-SPRINGDALE,GO,Office,4.4824341,
1669,19,SPICEWOOD,DR,"Agriculture, Development Reserve",388.8794929,
1265,1,NORTHWEST HILLS,SF-1,Single Family,6.235185623,
1050,8,MCNEIL,LR,Commercial,18.02206463,
1282,3,OLD WEST AUSTIN,CS-1,Vertical Mixed Use,0.583061689,
1852,2,WALNUT CREEK--PIONEER HILL,MF-1,Multi-Family,16.80969882,
1087,3,MLK-183,CS-1,Mixed Use,0.281889763,
2037,8,WINDSOR PARK,MF-1,Multi-Family,0.309225293,
1142,21,NORTH AUSTIN CIVIC ASSOCIATION,LO,Office,2.545532804,
873,2,HIGHLAND PARK,MF-3,Multi-Family,0.650611459,
1171,13,NORTH LAMAR,IP,Industrial,18.7454918,
794,13,HANCOCK,LR,Commercial,1.239833271,
1097,18,MLK-183,MF-2,Multi-Family,47.29673297,
788,4,HANCOCK,GO,Office,0.724272552,
883,23,HOLLY,CS-1,Mixed Use,1.240754645,
891,4,HOLLY,LR,Mixed Use,0.358976347,
1630,30,SOUTH RIVER CITY,GO,Office,14.22452909,
2020,71,WINDSOR PARK,CS,Mixed Use,39.01635542,
1497,103,ROSEWOOD,CS,Vertical Mixed Use,18.03594254,
654,1,GALINDO,GR,Mixed Use,0.400656636,
1118,5,MONTOPOLIS,LO,Office,1.482044924,
1272,20,OLD ENFIELD,MF-3,Multi-Family,17.70678191,
1252,1,NORTHWEST HILLS,DR,"Agriculture, Development Reserve",6.085473802,
658,5,GALINDO,LO,Vertical Mixed Use,6.455750194,
962,12,JOLLYVILLE,CS-1,Commercial,6.14105393,
1726,34,SWEETBRIAR,CS,Mixed Use,29.2316786,
980,13,JOLLYVILLE,SF-6,Single Family,128.2591103,
699,80,GEORGIAN ACRES,CS,Commercial,51.54264872,
1591,1,SOUTH LAMAR,MF-1,Multi-Family,0.28196559,
1105,15,MLK-183,W/LO,Industrial,3.92873293,
1973,15,WESTGATE,NO,Mixed Use,1.215590831,
1496,106,ROSEWOOD,CS,Mixed Use,20.1789259,
1897,7,WEST CONGRESS,MF-4,Multi-Family,6.200723742,
762,3,GRACY WOODS,LR,Mixed Use,1.603736785,
1412,27,RIVERSIDE,LO,Office,10.3891397,
890,7,HOLLY,LO,Office,0.819713026,
740,98,GOVALLE,P,Public,169.3386467,
419,176,DAWSON,CS,Vertical Mixed Use,38.12684466,
1215,1,NORTH SHOAL CREEK,CS,Vertical Mixed Use,0.490381607,
2021,89,WINDSOR PARK,CS,Vertical Mixed Use,54.0418102,
1740,30,SWEETBRIAR,SF-6,Single Family,21.52097238,
1251,2,NORTHWEST HILLS,CS-1,Vertical Mixed Use,0.124303474,
1019,4,MANSFIELD--RIVER PLACE,SF-3,Single Family,4.4291956,
1334,7,PARKER LANE,LR,Commercial,0.724375014,
2079,9,WOOTEN,LI,Industrial,1.608434955,
1830,4,VILLAGE AT WESTERN OAKS,LR,Commercial,25.09611655,
1727,13,SWEETBRIAR,CS-1,Mixed Use,1.268273336,
1637,5,SOUTH RIVER CITY,LO,Mixed Use,0.251372712,
1316,2,ONION CREEK,LR,Commercial,5.547364795,
961,15,JOLLYVILLE,CS,Commercial,22.64873141,
831,7,HERITAGE HILLS,IP,Industrial,27.15267174,
1293,2,OLD WEST AUSTIN,MF-2,Multi-Family,2.087158695,
1185,33,NORTH LAMAR,W/LO,Industrial,7.490091455,
1505,5,ROSEWOOD,LO,Office,1.084228517,
820,5,HAYS WARTHA,GO,Office,0.323570776,
727,2,GOVALLE,GO,Mixed Use,0.226517796,
1075,32,MLK,MF-3,Multi-Family,15.72971711,
838,18,HERITAGE HILLS,RR,"Rural, Lake Austin Residence",17.24495002,
1537,3,SLAUGHTER CREEK,GO,Office,4.798051291,
1424,1,RMMA,CS,Commercial,2.447074498,
669,4,GALINDO,SF-4A,Single Family,4.93077762,
1989,5,WESTOVER HILLS,MF-3,Multi-Family,34.50394203,
1366,13,PLEASANT VALLEY,GO,Office,64.11690449,
1854,1,WALNUT CREEK--PIONEER HILL,MF-4,Multi-Family,34.10396043,
1255,6,NORTHWEST HILLS,GR,Vertical Mixed Use,23.78088347,
2087,45,ZILKER,CS,Commercial,69.33190236,
1856,5,WALNUT CREEK--PIONEER HILL,P,Public,34.5221429,
1173,7,NORTH LAMAR,LO,Mixed Use,1.317516934,
982,1,JOLLYVILLE,W/LO,Industrial,1.674048109,
1301,1,OLD WEST AUSTIN,SF-2,Single Family,0.464383936,
1722,5,ST. JOHN,RR,"Rural, Lake Austin Residence",3.104179155,
1503,9,ROSEWOOD,LI,Industrial,0.256603754,
646,6,FRANKLIN PARK,SF-6,Single Family,3.655195579,
1040,1,MCNEIL,AG,"Agriculture, Development Reserve",13.35637252,
2053,2,WINDSOR ROAD,CS-1,Vertical Mixed Use,0.026421132,
1126,36,MONTOPOLIS,PUD,Planned Unit Development,5.499456605,
1508,4,ROSEWOOD,MF-2,Multi-Family,0.158971877,
965,54,JOLLYVILLE,GR,Commercial,254.6240847,
1737,17,SWEETBRIAR,PUD,Planned Unit Development,65.51347225,
1645,4,SOUTH RIVER CITY,NO,Mixed Use,0.717997713,
641,76,FRANKLIN PARK,P,Public,107.413216,
1395,2,POND SPRINGS,MF-4,Multi-Family,28.45987062,
1132,42,MONTOPOLIS,SF-6,Single Family,28.19500781,
1698,67,ST. EDWARDS,MF-2,Multi-Family,15.07216683,
1009,1,MANSFIELD--RIVER PLACE,MF-1,Multi-Family,4.312487948,
712,32,GEORGIAN ACRES,LR,Vertical Mixed Use,2.508218404,
2103,5,ZILKER,MF-6,Multi-Family,7.618067852,
2050,29,WINDSOR ROAD,CS,Commercial,5.428607731,
1925,21,WEST OAK HILL,NO,Office,6.437714392,
1947,45,WEST UNIVERSITY,LO,Mixed Use,4.754385883,
1501,14,ROSEWOOD,GR,Mixed Use,1.746175091,
2095,9,ZILKER,GR,Vertical Mixed Use,12.07455274,
679,71,GARRISON PARK,LO,Office,24.06363235,
1483,1,ROSEDALE,LR,Vertical Mixed Use,0.616341417,
906,5,HYDE PARK,LO,Office,1.237156932,
2101,3,ZILKER,MF-4,Multi-Family,0.816750603,
1298,2,OLD WEST AUSTIN,NO,Office,0.719247479,
1584,18,SOUTH LAMAR,GR,Commercial,33.46761196,
1257,2,NORTHWEST HILLS,LO,Vertical Mixed Use,10.08498286,
2005,2,WINDSOR HILLS,GR,Vertical Mixed Use,1.002482233,
1708,148,ST. JOHN,CS,Mixed Use,190.0068986,
1975,5,WESTGATE,P,Public,1.992692267,
2026,30,WINDSOR PARK,GO,Office,17.87050979,
2015,13,WINDSOR HILLS,SF-6,Single Family,8.389188666,
686,1,GARRISON PARK,NO,Mixed Use,0.70623167,
1092,38,MLK-183,IP,Industrial,28.48622711,
766,1,GRACY WOODS,MH,Mobile Home,4.707250288,
1725,3,SWEETBRIAR,CS,Commercial,0.687231454,
1668,1,SPICEWOOD,AG,"Agriculture, Development Reserve",0.403825535,
964,12,JOLLYVILLE,GO,Office,64.0812882,
1260,15,NORTHWEST HILLS,MF-2,Multi-Family,71.54548014,
1303,2,OLD WEST AUSTIN,SF-4A,Single Family,0.431961451,
2107,1,ZILKER,SF-2,Single Family,0.466023184,
710,12,GEORGIAN ACRES,LR,Commercial,2.323603629,
1990,2,WESTOVER HILLS,NO,Office,0.261526766,
963,15,JOLLYVILLE,DR,"Agriculture, Development Reserve",56.00985042,
1357,3,PECAN SPRINGS-SPRINGDALE,NO,Office,0.430729144,
708,11,GEORGIAN ACRES,LO,Mixed Use,3.078974561,
809,1,HARRIS BRANCH,GO,Office,2.263273888,
1146,15,NORTH AUSTIN CIVIC ASSOCIATION,NO,Office,2.061536999,
1661,14,SOUTHEAST,MH,Mobile Home,12.76768107,
1475,1,ROSEDALE,GO,Mixed Use,3.712198526,
1690,23,ST. EDWARDS,GO,Office,8.868267237,
1071,29,MLK,LO,Mixed Use,13.04409241,
697,23,GATEWAY,P,Public,89.95592447,
1314,1,ONION CREEK,GR,Mixed Use,8.167094623,
2024,12,WINDSOR PARK,CS-1,Vertical Mixed Use,0.485298984,
1488,1,ROSEDALE,NO,Office,0.149813612,
1758,7,TECH RIDGE,P,Public,65.03055454,
1221,8,NORTH SHOAL CREEK,LO,Office,17.57902506,
2091,9,ZILKER,CS-1,Vertical Mixed Use,2.124036135,
1108,32,MONTOPOLIS,CS,Mixed Use,45.3735984,
1735,7,SWEETBRIAR,MH,Mobile Home,6.489690354,
943,1,JOHNSTON TERRACE,GO,Mixed Use,1.569355713,
926,2,JESTER,GO,Office,29.30837926,
1031,10,MCKINNEY,MF-1,Multi-Family,7.205056166,
674,3,GARRISON PARK,GO,Office,0.527816962,
1914,13,WEST OAK HILL,GR,Mixed Use,43.11091292,
2074,11,WOOTEN,CS-1,Commercial,0.899763493,
1866,35,WEST AUSTIN NEIGHBORHOOD GROUP,CS,Commercial,18.46629069,
636,31,FRANKLIN PARK,LR,Mixed Use,6.460239069,
1045,4,MCNEIL,GR,Mixed Use,3.866309994,
818,7,HARRIS BRANCH,SF-4A,Single Family,337.1398735,
1899,67,WEST CONGRESS,SF-2,Single Family,15.45504042,
1034,14,MCKINNEY,RR,"Rural, Lake Austin Residence",2.018057591,
1284,2,OLD WEST AUSTIN,GR,Commercial,0.350898216,
543,2,EAST CESAR CHAVEZ,CS,Commercial,1.031832735,
1858,9,WALNUT CREEK--PIONEER HILL,RR,"Rural, Lake Austin Residence",186.0679957,
909,2,HYDE PARK,LR,Mixed Use,0.43861784,
492,4,DITTMAR--SLAUGHTER,CS-1,Commercial,0.628792961,
1484,5,ROSEDALE,MF-2,Multi-Family,1.194512122,
62,1,ANDERSON MILL,CS,Mixed Use,7.891592031,
283,15,CENTRAL EAST AUSTIN,CS-1,Mixed Use,0.708016721,
955,12,JOHNSTON TERRACE,SF-4A,Single Family,15.42616722,
1921,237,WEST OAK HILL,MF-1,Multi-Family,466.8554715,
209,25,BOULDIN CREEK,MF-4,Multi-Family,8.326284352,
1089,2,MLK-183,GO,Office,0.07776103,
142,4,BARTON HILLS,MF-3,Multi-Family,41.32048302,
1908,4,WEST OAK HILL,CS,Mixed Use,0.479152158,
94,1,AVERY RANCH--LAKELINE,LI,Industrial,4.250253409,
81,4,ANDERSON MILL,SF-4A,Single Family,0.557962987,
104,21,AVERY RANCH--LAKELINE,RR,"Rural, Lake Austin Residence",329.1366301,
1993,7,WESTOVER HILLS,SF-2,Single Family,26.42345917,
1843,1,WALNUT CREEK--PIONEER HILL,CS,Mixed Use,11.16671441,
1615,26,SOUTH MANCHACA,LR,Commercial,2.89133902,
772,27,GRACY WOODS,RR,"Rural, Lake Austin Residence",147.8895849,
1986,26,WESTOVER HILLS,LO,Office,73.32953377,
316,1,CHERRY CREEK,MF-1,Multi-Family,0.169401781,
1697,2,ST. EDWARDS,LR,Commercial,0.582724786,
333,13,CHESTNUT,CS,Mixed Use,1.134393092,
167,1,BLUFF SPRINGS,CS,Mixed Use,60.52515181,
969,52,JOLLYVILLE,LO,Office,150.0146375,
1806,36,UPPER BOGGY CREEK,MF-4,Multi-Family,3.999632243,
1179,14,NORTH LAMAR,MF-3,Multi-Family,15.57645375,
1580,1,SOUTH LAMAR,CS-1,Mixed Use,0.158939054,
1414,5,RIVERSIDE,LR,Mixed Use,0.584348267,
522,1,DOWNTOWN,CS,Mixed Use,0.200064939,
1766,2,TRIANGLE STATE,CS,Commercial,3.650243066,
1143,32,NORTH AUSTIN CIVIC ASSOCIATION,LR,Commercial,10.01962396,
953,13,JOHNSTON TERRACE,PUD,Planned Unit Development,23.45725669,
251,1,BRODIE LANE,MF-1,Multi-Family,34.31072484,
2031,4,WINDSOR PARK,LI,Industrial,0.842098744,
844,74,HIGHLAND,CS,Vertical Mixed Use,207.3570516,
2104,1,ZILKER,NO,Office,0.190336865,
1481,1,ROSEDALE,LO,Vertical Mixed Use,1.320215308,
995,42,LBJ,SF-2,Single Family,178.9986229,
205,6,BOULDIN CREEK,LR,Commercial,0.592628413,
1842,14,WALNUT CREEK--PIONEER HILL,CS,Commercial,43.39211245,
1068,30,MLK,GR,Commercial,10.18925078,
1302,145,OLD WEST AUSTIN,SF-3,Single Family,99.31685051,
1742,3,TECH RIDGE,CH,Commercial,37.68326996,
1583,2,SOUTH LAMAR,GO,Office,6.063990484,
148,29,BARTON HILLS,SF-2,Single Family,284.9180996,
464,1,DEL VALLE,LO,Office,1.594245538,
288,42,CENTRAL EAST AUSTIN,GR,Mixed Use,5.105269748,
1160,4,NORTH BURNET,RR,"Rural, Lake Austin Residence",12.10684994,
202,6,BOULDIN CREEK,LO,Mixed Use,0.574400466,
992,5,LBJ,MF-3,Multi-Family,41.22744951,
1893,10,WEST CONGRESS,LO,Mixed Use,3.658214997,
1341,9,PARKER LANE,RR,"Rural, Lake Austin Residence",3.512444898,
433,9,DAWSON,MF-4,Multi-Family,2.640754645,
366,3,CORONADO HILLS,GR,Vertical Mixed Use,2.438722114,
1055,11,MCNEIL,P,Public,124.843533,
534,5,DOWNTOWN,MF-3,Multi-Family,1.789478999,
1199,22,NORTH LOOP,LR,Commercial,2.16980672,
1279,37,OLD WEST AUSTIN,CS,Mixed Use,12.28260952,
1086,34,MLK-183,CS,Mixed Use,13.58852917,
1361,31,PECAN SPRINGS-SPRINGDALE,SF-4A,Single Family,26.82939054,
752,2,GRACY WOODS,DR,"Agriculture, Development Reserve",5.135426245,
484,8,DEL VALLE EAST,P,Public,92.92917478,
1196,51,NORTH LOOP,LO,Mixed Use,4.094318641,
616,2,FOUR POINTS,MF-3,Multi-Family,36.79714389,
609,19,FOUR POINTS,GR,Commercial,234.5021152,
804,2,HANCOCK,SF-6,Single Family,3.324945621,
999,2,MANSFIELD--RIVER PLACE,CS,Commercial,1.258716372,
971,5,JOLLYVILLE,MF-1,Multi-Family,61.58182513,
715,16,GEORGIAN ACRES,MF-4,Multi-Family,29.50487445,
1814,5,UT,CS,Mixed Use,1.479420147,
87,4,AVERY RANCH--LAKELINE,CS,Mixed Use,19.48157071,
1006,2,MANSFIELD--RIVER PLACE,LI,Industrial,5.073515183,
1141,11,NORTH AUSTIN CIVIC ASSOCIATION,LO,Mixed Use,4.702734214,
1268,1,NORTHWEST HILLS,SF-5,Single Family,0.398776945,
324,16,CHERRY CREEK,PUD,Planned Unit Development,221.9112795,
1755,16,TECH RIDGE,MF-3,Multi-Family,172.2100133,
68,2,ANDERSON MILL,LO,Mixed Use,0.845683673,
739,12,GOVALLE,NO,Office,2.838696586,
201,6,BOULDIN CREEK,LI,Industrial,1.272491996,
607,14,FOUR POINTS,DR,"Agriculture, Development Reserve",1109.69196,
509,1,DITTMAR--SLAUGHTER,NO,Mixed Use,6.911549371,
276,10,BULL CREEK,SF-6,Single Family,36.98647109,
425,38,DAWSON,GR,Vertical Mixed Use,4.348351626,
1855,1,WALNUT CREEK--PIONEER HILL,NO,Office,2.292064078,
1262,1,NORTHWEST HILLS,NO,Office,0.23661709,
1631,21,SOUTH RIVER CITY,GR,Commercial,6.5114557,
1983,1,WESTOVER HILLS,CS,Mixed Use,2.718620041,
106,10,AVERY RANCH--LAKELINE,SF-4A,Single Family,54.61836835,
394,12,CRESTVIEW,LR,Mixed Use,1.908644938,
1155,5,NORTH BURNET,LI,Industrial,23.46828521,
1206,3,NORTH LOOP,NO,Vertical Mixed Use,0.235828964,
311,23,CHERRY CREEK,GR,Commercial,118.5887047,
745,10,GOVALLE,SF-5,Single Family,2.563277058,
525,9,DOWNTOWN,GO,Mixed Use,2.267634151,
1427,2,RMMA,GO,Mixed Use,1.670404827,
2076,2,WOOTEN,GO,Office,11.0366528,
395,10,CRESTVIEW,MF-2,Multi-Family,0.544118788,
487,90,DEL VALLE EAST,SF-2,Single Family,299.2115686,
687,40,GARRISON PARK,P,Public,43.92898566,
370,1,CORONADO HILLS,MF-1,Multi-Family,4.52824187,
1177,13,NORTH LAMAR,LR,Vertical Mixed Use,5.045464858,
269,2,BULL CREEK,LR,Mixed Use,2.002348124,
1289,1,OLD WEST AUSTIN,LO,Vertical Mixed Use,0.478970725,
319,5,CHERRY CREEK,MF-4,Multi-Family,35.08105219,
792,19,HANCOCK,LO,Office,1.316525801,
1224,5,NORTH SHOAL CREEK,MF-3,Multi-Family,9.465586398,
338,8,CHESTNUT,LR,Mixed Use,0.318226709,
774,158,GRACY WOODS,SF-2,Single Family,706.1102642,
164,2,BERGSTROM,UNZ,Unzoned,11.91144492,
467,7,DEL VALLE,MH,Mobile Home,21.40080988,
2012,53,WINDSOR HILLS,PUD,Planned Unit Development,9.786660138,
581,70,EAST OAK HILL,GO,Office,184.8630965,
1550,7,SLAUGHTER CREEK,P,Public,350.4535029,
166,11,BLUFF SPRINGS,CS,Commercial,41.330858,
496,22,DITTMAR--SLAUGHTER,GR,Commercial,72.61648718,
216,13,BOULDIN CREEK,SF-4A,Single Family,0.766292774,
1278,4,OLD WEST AUSTIN,CS,Commercial,2.823157802,
